round_epochs,val_loss,val_mae,loss,mae,activation,batch_size,dropout,epochs,kernel_initializer,last_activation,losses,lr,number_of_neurons,optimizer
100,18.79905974196788,18.799060821533203,18.536429481437832,18.536432,relu,30,0,100,uniform,linear,mae,0.0001,1,Adam
100,13.56430587748572,13.564306259155273,13.460772691685145,13.460769,relu,30,0,100,uniform,linear,mae,0.0001,25,Adam
100,13.513960761759154,13.513957023620605,13.237661529829216,13.237656,relu,30,0,100,uniform,linear,mae,0.0001,50,Adam
100,13.301886781714487,13.301883697509766,13.019096037439022,13.019096,relu,30,0,100,uniform,linear,mae,0.0001,75,Adam
100,13.229757718480402,13.229764938354492,12.899183767281897,12.899185,relu,30,0,100,uniform,linear,mae,0.0001,100,Adam
100,57.60735329038002,57.607357025146484,57.4506423647863,57.45065,relu,30,0,100,uniform,linear,mae,0.001,1,Adam
100,13.958499973266147,13.958495140075684,13.84472792781304,13.844726,relu,30,0,100,uniform,linear,mae,0.001,25,Adam
100,13.386460285026907,13.386462211608887,13.12894053516979,13.128929,relu,30,0,100,uniform,linear,mae,0.001,50,Adam
100,12.998907770393656,12.99890422821045,12.923195628719476,12.923191,relu,30,0,100,uniform,linear,mae,0.001,75,Adam
100,12.9791073204648,12.979111671447754,12.830571215571338,12.830574,relu,30,0,100,uniform,linear,mae,0.001,100,Adam
100,57.61245399822796,57.612449645996094,57.45605042465717,57.456062,relu,30,0,100,uniform,linear,mae,0.01,1,Adam
100,13.6444544044073,13.644458770751953,13.477627057851459,13.477625,relu,30,0,100,uniform,linear,mae,0.01,25,Adam
100,14.386858298305194,14.386857986450195,13.238266321324852,13.238271,relu,30,0,100,uniform,linear,mae,0.01,50,Adam
100,13.338634742249239,13.338634490966797,12.90267269917545,12.90267,relu,30,0,100,uniform,linear,mae,0.01,75,Adam
100,13.277311856238363,13.27731990814209,12.956386650791606,12.956387,relu,30,0,100,uniform,linear,mae,0.01,100,Adam
100,57.60621601402479,57.60619354248047,57.449071830412066,57.449097,relu,30,0,100,uniform,linear,mae,1,1,Adam
100,14.039242127979533,14.039239883422852,13.551296323524443,13.551299,relu,30,0,100,uniform,linear,mae,1,25,Adam
100,13.588339776877897,13.58834171295166,13.207320573782782,13.207325,relu,30,0,100,uniform,linear,mae,1,50,Adam
100,13.283800701872725,13.28380298614502,12.998788782497881,12.998788,relu,30,0,100,uniform,linear,mae,1,75,Adam
100,12.989969550532905,12.989970207214355,12.84642219602339,12.84643,relu,30,0,100,uniform,linear,mae,1,100,Adam
