round_epochs,val_loss,val_mae,loss,mae,activation,batch_size,dropout,epochs,kernel_initializer,last_activation,losses,lr,number_of_neurons,optimizer
100,54.6580167903413,54.65802764892578,55.45167589488782,55.45167,relu,30,0,100,uniform,linear,mae,0.01,1,Adam
100,47.030282805617055,47.03029251098633,47.4354491223787,47.435455,relu,30,0,100,uniform,linear,mae,0.01,25,Adam
100,46.62162317414649,46.621612548828125,47.05320890928569,47.053215,relu,30,0,100,uniform,linear,mae,0.01,50,Adam
100,47.006439434756,47.006439208984375,46.99969891799124,46.99969,relu,30,0,100,uniform,linear,mae,0.01,75,Adam
100,46.34201140019655,46.34199905395508,47.275445315712375,47.275444,relu,30,0,100,uniform,linear,mae,0.01,100,Adam
100,45.98031389689867,45.980308532714844,47.20424914510627,47.20424,relu,30,0,100,uniform,linear,mae,0.01,125,Adam
100,46.35713427286954,46.35712814331055,46.87108897761295,46.871086,relu,30,0,100,uniform,linear,mae,0.01,150,Adam
100,54.65662730372491,54.6566276550293,55.45042877799586,55.450428,relu,30,0,100,uniform,linear,mae,1e-05,1,Adam
100,46.86419894887328,46.86420822143555,47.16721012717799,47.167206,relu,30,0,100,uniform,linear,mae,1e-05,25,Adam
100,46.522723179200774,46.5227165222168,47.101156270880445,47.101143,relu,30,0,100,uniform,linear,mae,1e-05,50,Adam
100,47.08622448664517,47.08622360229492,47.13998753196315,47.14,relu,30,0,100,uniform,linear,mae,1e-05,75,Adam
100,47.16359732895797,47.16358947753906,46.80013348428827,46.800137,relu,30,0,100,uniform,linear,mae,1e-05,100,Adam
100,46.60871840179084,46.60871124267578,47.03142285798725,47.03142,relu,30,0,100,uniform,linear,mae,1e-05,125,Adam
100,46.19420057945027,46.19418716430664,46.797180189835395,46.79719,relu,30,0,100,uniform,linear,mae,1e-05,150,Adam
100,54.6607828158995,54.660762786865234,55.45487113751863,55.45487,relu,30,0,100,uniform,linear,mae,0.0001,1,Adam
100,47.19014536702094,47.190147399902344,47.520031798513315,47.520046,relu,30,0,100,uniform,linear,mae,0.0001,25,Adam
100,47.59156268518894,47.5915641784668,47.44070164529901,47.4407,relu,30,0,100,uniform,linear,mae,0.0001,50,Adam
100,47.04699593021265,47.04698181152344,47.01167535882247,47.01167,relu,30,0,100,uniform,linear,mae,0.0001,75,Adam
100,46.41151182684308,46.411502838134766,47.04721495778937,47.04722,relu,30,0,100,uniform,linear,mae,0.0001,100,Adam
100,45.9460161027365,45.94601058959961,46.87060425808555,46.87061,relu,30,0,100,uniform,linear,mae,0.0001,125,Adam
100,46.23772079864982,46.23773193359375,47.27094160180343,47.27096,relu,30,0,100,uniform,linear,mae,0.0001,150,Adam
100,54.65473718024893,54.65473556518555,55.44820443404348,55.448193,relu,30,0,100,uniform,linear,mae,0.001,1,Adam
100,46.275541009509496,46.2755241394043,46.59660799729197,46.596607,relu,30,0,100,uniform,linear,mae,0.001,25,Adam
100,47.98674016757658,47.98674392700195,47.0124291169016,47.012436,relu,30,0,100,uniform,linear,mae,0.001,50,Adam
100,47.161975763167284,47.161983489990234,46.79031380502801,46.790306,relu,30,0,100,uniform,linear,mae,0.001,75,Adam
100,46.26533736695475,46.26533126831055,47.50138223547685,47.501377,relu,30,0,100,uniform,linear,mae,0.001,100,Adam
100,46.28901025213755,46.28900909423828,47.20870588001452,47.208702,relu,30,0,100,uniform,linear,mae,0.001,125,Adam
100,46.387451291786896,46.38743209838867,47.708837097569514,47.708836,relu,30,0,100,uniform,linear,mae,0.001,150,Adam
100,54.65697668858736,54.656978607177734,55.45101849003842,55.451,relu,30,0,100,uniform,linear,mae,0.3,1,Adam
100,48.8020234332806,48.8020133972168,47.34007518567537,47.340076,relu,30,0,100,uniform,linear,mae,0.3,25,Adam
100,46.1458320636412,46.14583969116211,47.02393469559519,47.023933,relu,30,0,100,uniform,linear,mae,0.3,50,Adam
100,46.77796402333527,46.7779541015625,47.24062763816432,47.24061,relu,30,0,100,uniform,linear,mae,0.3,75,Adam
100,46.6517133750241,46.651710510253906,47.235168874640216,47.23516,relu,30,0,100,uniform,linear,mae,0.3,100,Adam
100,46.35223388109788,46.35224151611328,46.92777545125861,46.92776,relu,30,0,100,uniform,linear,mae,0.3,125,Adam
100,46.37543366138031,46.375457763671875,47.31670567161159,47.316704,relu,30,0,100,uniform,linear,mae,0.3,150,Adam
100,54.65767106560218,54.65767288208008,55.452225920024674,55.45221,relu,30,0,100,uniform,linear,mae,1,1,Adam
100,48.1398531552148,48.13984680175781,47.449405469392474,47.449394,relu,30,0,100,uniform,linear,mae,1,25,Adam
100,47.044205346135584,47.04420471191406,47.102761571783766,47.102764,relu,30,0,100,uniform,linear,mae,1,50,Adam
100,46.26353212049293,46.26353073120117,47.07047304053056,47.07049,relu,30,0,100,uniform,linear,mae,1,75,Adam
100,46.241048067164094,46.241050720214844,46.90866606662148,46.908676,relu,30,0,100,uniform,linear,mae,1,100,Adam
100,47.051173120210116,47.05117416381836,47.09276751869603,47.092766,relu,30,0,100,uniform,linear,mae,1,125,Adam
100,46.60847774329495,46.60847473144531,47.51235422034013,47.51237,relu,30,0,100,uniform,linear,mae,1,150,Adam
