round_epochs,val_loss,val_mae,loss,mae,activation,batch_size,dropout,epochs,kernel_initializer,last_activation,losses,lr,number_of_neurons,optimizer
100,0.08424080642075635,0.08424082398414612,0.08767330130072017,0.087673336,relu,30,0,100,uniform,linear,mae,0.01,1,Adam
100,0.060136062155289244,0.06013605743646622,0.06143415547907352,0.06143416,relu,30,0,100,uniform,linear,mae,0.01,25,Adam
100,0.059013493706733866,0.059013478457927704,0.05919837196406565,0.0591984,relu,30,0,100,uniform,linear,mae,0.01,50,Adam
100,0.05914763748931217,0.05914762243628502,0.05907079704105854,0.059070807,relu,30,0,100,uniform,linear,mae,0.01,75,Adam
100,0.058246796334085506,0.05824678763747215,0.05765806266743886,0.05765807,relu,30,0,100,uniform,linear,mae,0.01,100,Adam
100,0.058591933743497596,0.058591924607753754,0.05757486106533753,0.05757487,relu,30,0,100,uniform,linear,mae,0.01,125,Adam
100,0.058486089267729545,0.058486104011535645,0.05768479353503177,0.057684813,relu,30,0,100,uniform,linear,mae,0.01,150,Adam
100,0.0673459608305414,0.06734596192836761,0.06894228871715696,0.06894226,relu,30,0,100,uniform,linear,mae,1e-05,1,Adam
100,0.060559680879350264,0.060559701174497604,0.06157933244579717,0.06157934,relu,30,0,100,uniform,linear,mae,1e-05,25,Adam
100,0.058962110737393554,0.05896212160587311,0.05990944850209512,0.059909444,relu,30,0,100,uniform,linear,mae,1e-05,50,Adam
100,0.058637143700056085,0.058637142181396484,0.05874321727180167,0.058743216,relu,30,0,100,uniform,linear,mae,1e-05,75,Adam
100,0.061696789639110884,0.06169678643345833,0.057877060069065345,0.05787709,relu,30,0,100,uniform,linear,mae,1e-05,100,Adam
100,0.05903349028011026,0.05903348699212074,0.05815186580545024,0.0581519,relu,30,0,100,uniform,linear,mae,1e-05,125,Adam
100,0.05819404462795185,0.05819404870271683,0.056990157761856126,0.05699017,relu,30,0,100,uniform,linear,mae,1e-05,150,Adam
100,0.06727297343167317,0.06727298349142075,0.06908378015223303,0.069083795,relu,30,0,100,uniform,linear,mae,0.0001,1,Adam
100,0.06465226266540455,0.06465227156877518,0.06464618510321567,0.06464619,relu,30,0,100,uniform,linear,mae,0.0001,25,Adam
100,0.05922999995813681,0.05922998860478401,0.06034480694877474,0.060344778,relu,30,0,100,uniform,linear,mae,0.0001,50,Adam
100,0.06158683836745548,0.061586834490299225,0.05840925815858339,0.058409277,relu,30,0,100,uniform,linear,mae,0.0001,75,Adam
100,0.0594165916856532,0.05941658094525337,0.058887084949957695,0.058887072,relu,30,0,100,uniform,linear,mae,0.0001,100,Adam
100,0.059056346134551616,0.0590563602745533,0.05894039895189436,0.058940396,relu,30,0,100,uniform,linear,mae,0.0001,125,Adam
100,0.06094660862094644,0.06094660982489586,0.05721786482945869,0.057217862,relu,30,0,100,uniform,linear,mae,0.0001,150,Adam
100,0.08425533125444164,0.08425531536340714,0.0875966079925236,0.087596625,relu,30,0,100,uniform,linear,mae,0.001,1,Adam
100,0.061941927642889014,0.06194194406270981,0.06284930766413087,0.0628493,relu,30,0,100,uniform,linear,mae,0.001,25,Adam
100,0.05954604313392302,0.05954604968428612,0.05998310838482882,0.059983116,relu,30,0,100,uniform,linear,mae,0.001,50,Adam
100,0.059428833208224334,0.05942884087562561,0.059139881420292355,0.059139904,relu,30,0,100,uniform,linear,mae,0.001,75,Adam
100,0.05848104852363321,0.05848104879260063,0.05897249769223364,0.058972526,relu,30,0,100,uniform,linear,mae,0.001,100,Adam
100,0.05822576609694478,0.05822577327489853,0.057828961206894174,0.057828978,relu,30,0,100,uniform,linear,mae,0.001,125,Adam
100,0.05880323900294093,0.058803245425224304,0.05772062725142429,0.057720628,relu,30,0,100,uniform,linear,mae,0.001,150,Adam
100,0.08417880714986262,0.08417879790067673,0.08765699768536969,0.087657034,relu,30,0,100,uniform,linear,mae,0.3,1,Adam
100,0.06171823360121027,0.061718255281448364,0.06272207271111639,0.06272208,relu,30,0,100,uniform,linear,mae,0.3,25,Adam
100,0.06242181154696201,0.062421780079603195,0.06046553178053153,0.060465556,relu,30,0,100,uniform,linear,mae,0.3,50,Adam
100,0.058534868237194705,0.05853487551212311,0.05901371349041399,0.059013717,relu,30,0,100,uniform,linear,mae,0.3,75,Adam
100,0.058544751887954403,0.05854475870728493,0.05774797938764095,0.05774797,relu,30,0,100,uniform,linear,mae,0.3,100,Adam
100,0.05945233345280579,0.05945234373211861,0.058027676926239544,0.058027666,relu,30,0,100,uniform,linear,mae,0.3,125,Adam
100,0.0592978157227482,0.059297818690538406,0.057817473489987226,0.057817467,relu,30,0,100,uniform,linear,mae,0.3,150,Adam
100,0.0842837211611902,0.08428370952606201,0.08762354208450568,0.087623574,relu,30,0,100,uniform,linear,mae,1,1,Adam
100,0.06026748296107606,0.06026748567819595,0.06138835579549012,0.06138835,relu,30,0,100,uniform,linear,mae,1,25,Adam
100,0.05937700250326914,0.05937701836228371,0.05886190050526669,0.058861937,relu,30,0,100,uniform,linear,mae,1,50,Adam
100,0.06236016456850151,0.06236015632748604,0.0584853358096198,0.058485333,relu,30,0,100,uniform,linear,mae,1,75,Adam
100,0.05885006938210171,0.058850083500146866,0.05881872830422301,0.058818724,relu,30,0,100,uniform,linear,mae,1,100,Adam
100,0.05799859211814895,0.057998593896627426,0.05711082889061225,0.05711082,relu,30,0,100,uniform,linear,mae,1,125,Adam
100,0.058801467748164894,0.05880146473646164,0.05819380301982165,0.05819383,relu,30,0,100,uniform,linear,mae,1,150,Adam
