round_epochs,val_loss,val_mse,loss,mse,activation,batch_size,dropout,epochs,kernel_initializer,last_activation,losses,lr,number_of_neurons,optimizer
100,0.01498283686968068,0.014982839114964008,0.014811384127916475,0.014811388,relu,30,0,100,uniform,linear,mse,0.01,1,Adam
100,0.007778196026797979,0.007778195198625326,0.007599475861428992,0.0075994744,relu,30,0,100,uniform,linear,mse,0.01,25,Adam
100,0.006974810187765241,0.0069748112000525,0.006998095752573327,0.0069980933,relu,30,0,100,uniform,linear,mse,0.01,50,Adam
100,0.006925150607634804,0.0069251530803740025,0.006799020795029049,0.0067990194,relu,30,0,100,uniform,linear,mse,0.01,75,Adam
100,0.007430047402318479,0.007430050056427717,0.006758658990361973,0.006758658,relu,30,0,100,uniform,linear,mse,0.01,100,Adam
100,0.006954131798781198,0.006954133044928312,0.006574890373862888,0.00657489,relu,30,0,100,uniform,linear,mse,0.01,125,Adam
100,0.006949134220182529,0.006949135102331638,0.006635988413013126,0.006635988,relu,30,0,100,uniform,linear,mse,0.01,150,Adam
100,0.006759452744142824,0.006759454030543566,0.006478908881299982,0.0064789075,relu,30,0,100,uniform,linear,mse,0.01,175,Adam
100,0.006827633189470168,0.006827632896602154,0.006544748072169329,0.0065447474,relu,30,0,100,uniform,linear,mse,0.01,200,Adam
100,0.014971528478352855,0.01497152540832758,0.014816954053546253,0.014816956,relu,30,0,100,uniform,linear,mse,1e-05,1,Adam
100,0.007641900760192087,0.007641902193427086,0.007401125133037567,0.007401127,relu,30,0,100,uniform,linear,mse,1e-05,25,Adam
100,0.007059188421622599,0.007059189025312662,0.006899428712204099,0.00689943,relu,30,0,100,uniform,linear,mse,1e-05,50,Adam
100,0.006707091991193154,0.006707094144076109,0.006625472106725761,0.0066254684,relu,30,0,100,uniform,linear,mse,1e-05,75,Adam
100,0.006685288184988431,0.006685290019959211,0.006755390749190395,0.00675539,relu,30,0,100,uniform,linear,mse,1e-05,100,Adam
100,0.006824093339973896,0.006824093405157328,0.0065564296795300354,0.006556429,relu,30,0,100,uniform,linear,mse,1e-05,125,Adam
100,0.006814326170176882,0.006814322900027037,0.006664941898351045,0.006664942,relu,30,0,100,uniform,linear,mse,1e-05,150,Adam
